,260226_Hpos_000_AnalyticalBlnk.mzML,260226_Hpos_001_AnalyticalBlnk.mzML,260226_Hpos_002_AnalyticalBlnk.mzML,260226_Hpos_005_MethodBlnk.mzML,260226_Hpos_006_MethodBlnk.mzML,260226_Hpos_007_QC_cond.mzML,260226_Hpos_008_QC_cond.mzML,260226_Hpos_009_QC_cond.mzML,260226_Hpos_010_QC_cond.mzML,260226_Hpos_017_QC.mzML,260226_Hpos_018_spelt_t8_A.mzML,260226_Hpos_019_buckwheat_t1_C.mzML,260226_Hpos_020_wheat_t8_H.mzML,260226_Hpos_021_spelt_t1_D.mzML,260226_Hpos_022_buckwheat_t1_E.mzML,260226_Hpos_023_wheat_t1_G.mzML,260226_Hpos_024_dinkel_t8_C.mzML,260226_Hpos_025_wheat_t1_A.mzML,260226_Hpos_026_wheat_t8_G.mzML,260226_Hpos_027_1_t0.mzML,260226_Hpos_028_buckwheat_t8_D.mzML,260226_Hpos_029_wheat_t1_H.mzML,260226_Hpos_030_wheat_t8_A.mzML,260226_Hpos_031_maize_t8_G.mzML,260226_Hpos_032_buckwheat_t1_F.mzML,260226_Hpos_033_buckwheat_t1_D.mzML,260226_Hpos_034_maize_t8_H.mzML,260226_Hpos_035_spelt_t8_D.mzML,260226_Hpos_036_maize_t1_G.mzML,260226_Hpos_037_wheat_t1_B.mzML,260226_Hpos_038_wheat_t8_B.mzML,260226_Hpos_039_maize_t8_E.mzML,260226_Hpos_040_spelt_t1_A.mzML,260226_Hpos_041_dinkel_t1_B.mzML,260226_Hpos_042_maize_t1_F.mzML,260226_Hpos_043_maize_t1_H.mzML,260226_Hpos_044_buckwheat_t8_E.mzML,260226_Hpos_045_dinkel_t8_B.mzML,260226_Hpos_046_buckwheat_t8_C.mzML,260226_Hpos_047_dinkel_t1_C.mzML,260226_Hpos_048_buckwheat_t8_F.mzML,260226_Hpos_049_maize_t8_F.mzML,260226_Hpos_050_maize_t1_E.mzML,260226_Hpos_051_QC.mzML,260226_Hpos_052_spelt_t1_A.mzML,260226_Hpos_053_1_t0.mzML,260226_Hpos_054_buckwheat_t1_F.mzML,260226_Hpos_055_dinkel_t1_B.mzML,260226_Hpos_056_wheat_t1_H.mzML,260226_Hpos_057_buckwheat_t1_C.mzML,260226_Hpos_058_maize_t1_E.mzML,260226_Hpos_059_wheat_t1_A.mzML,260226_Hpos_060_wheat_t1_G.mzML,260226_Hpos_061_maize_t8_E.mzML,260226_Hpos_062_buckwheat_t1_E.mzML,260226_Hpos_063_dinkel_t8_C.mzML,260226_Hpos_064_dinkel_t8_B.mzML,260226_Hpos_065_maize_t8_H.mzML,260226_Hpos_066_maize_t8_G.mzML,260226_Hpos_067_maize_t1_G.mzML,260226_Hpos_068_maize_t8_F.mzML,260226_Hpos_069_dinkel_t1_C.mzML,260226_Hpos_070_buckwheat_t8_C.mzML,260226_Hpos_071_spelt_t8_A.mzML,260226_Hpos_072_maize_t1_F.mzML,260226_Hpos_073_buckwheat_t8_D.mzML,260226_Hpos_074_buckwheat_t8_E.mzML,260226_Hpos_075_spelt_t8_D.mzML,260226_Hpos_076_spelt_t1_D.mzML,260226_Hpos_077_wheat_t8_H.mzML,260226_Hpos_078_buckwheat_t1_D.mzML,260226_Hpos_079_wheat_t1_B.mzML,260226_Hpos_080_wheat_t8_G.mzML,260226_Hpos_081_wheat_t8_B.mzML,260226_Hpos_082_wheat_t8_A.mzML,260226_Hpos_083_maize_t1_H.mzML,260226_Hpos_084_buckwheat_t8_F.mzML,260226_Hpos_085_QC.mzML,260226_Hpos_086_spelt_t8_A.mzML,260226_Hpos_087_dinkel_t8_C.mzML,260226_Hpos_088_wheat_t8_A.mzML,260226_Hpos_089_maize_t8_E.mzML,260226_Hpos_090_spelt_t1_D.mzML,260226_Hpos_091_buckwheat_t8_F.mzML,260226_Hpos_092_dinkel_t1_B.mzML,260226_Hpos_093_maize_t1_G.mzML,260226_Hpos_094_wheat_t1_B.mzML,260226_Hpos_095_1_t0.mzML,260226_Hpos_096_buckwheat_t8_C.mzML,260226_Hpos_097_buckwheat_t1_C.mzML,260226_Hpos_098_maize_t1_H.mzML,260226_Hpos_099_spelt_t1_A.mzML,260226_Hpos_100_buckwheat_t8_E.mzML,260226_Hpos_101_buckwheat_t8_D.mzML,260226_Hpos_102_wheat_t8_G.mzML,260226_Hpos_103_dinkel_t1_C.mzML,260226_Hpos_104_buckwheat_t1_E.mzML,260226_Hpos_105_dinkel_t8_B.mzML,260226_Hpos_106_buckwheat_t1_D.mzML,260226_Hpos_107_spelt_t8_D.mzML,260226_Hpos_108_maize_t1_E.mzML,260226_Hpos_109_wheat_t8_H.mzML,260226_Hpos_110_maize_t8_F.mzML,260226_Hpos_111_maize_t1_F.mzML,260226_Hpos_112_wheat_t1_H.mzML,260226_Hpos_113_wheat_t1_G.mzML,260226_Hpos_114_maize_t8_G.mzML,260226_Hpos_115_wheat_t8_B.mzML,260226_Hpos_116_maize_t8_H.mzML,260226_Hpos_117_buckwheat_t1_F.mzML,260226_Hpos_118_wheat_t1_A.mzML,260226_Hpos_119_QC.mzML,InchiKey
16 | 219.1017mz | 0.40min,,,,,,67.35,88.82,74.5,61,73.29,,307.7,,,404.6,,,,,,1008,,,,427.9,713.6,,,,,,,,,,,695.5,,1169,71.28,711.4,,,87.48,,,1019,,,1071,,,,,357.1,,,,,,,129.5,1181,,,945.6,787.5,,,,1363,,,,,,1283,86.09,,,,,,1476,,,,,1192,354.2,,,782.4,1048,,153.6,967.8,,927.2,,,,,,,,,,,917.6,,91.71,
17 | 589.4831mz | 0.40min,,,,,,302.5,171.4,,148.4,,148.1,,946.1,,,,1652,,,,,,1367,,,,,2580,,,984.8,,,,,,,2451,,,,,,,,,,455.9,,,,578.3,,,,2904,2184,,,,,,,2216,,,,2708,167.1,1773,,,,1819,504.4,,,961,2525,2943,1220,,1003,,472.8,,268.7,,,,,864.2,,,,270,,3321,,3073,,2064,,,308.6,,,2656,,146.7,1176,448.3,
18 | 620.5260mz | 0.39min,,,,,,810.4,636.9,955.5,590,355,,,144,,,,100.6,,,,,,259.5,,,,13030,,,,125.9,10970,,,,,141.1,244.9,139.9,,,16760,,363.4,,,,,,,,,,9758,,273,393.4,14370,,,18760,,213,,,409.2,207.1,,,67.61,,,,335.8,,,504.1,485.8,,176.7,618.9,10870,,821.1,,,,,,,1080,,,182.2,,,,,,,91.74,184.6,18860,582,,,,340.2,14190,,,699.1,
19 | 622.5397mz | 0.39min,,,,,,,,107.6,146.6,57.16,,,,,,,,,,,190.5,,,,,,4175,,,,,2996,,,,,,,,,,4198,,,,,,,,,,,,2126,,,,5758,,,6090,,,,,,,,,,,,,,,,145.8,,,,,3510,,543,,,,,,,,,,323.8,,,,,,,,,5800,,,,,,4770,,,,
20 | 479.4461mz | 0.39min,,,,,,2543,1808,2203,2278,1958,4175,,3829,55.5,,,6144,,,173.7,,,8877,,,,,8324,,,7436,,,754.1,,,127.1,8625,,,,,,2904,207.6,171.6,,676.3,,555.4,,372.8,,166.2,,7242,8312,,,,,592.8,169.7,3609,,198.9,207.2,8251,519.1,5030,,,,7060,7906,,,3482,6205,7714,8884,198.7,2897,226.6,2095,,2178,1901,,,520.6,1897,218.9,522.5,,1760,,5401,237.2,8409,77.21,5093,,770.8,1667,,,6874,,1014,2469,3036,
"21 | hentriacontane-7,16,18-trione | [M + H3N + H]+",,,,,,16830,15960,16680,17510,16860,22390,1035,24060,1839,,,30390,1230,,1883,4122,806.9,40290,,944.6,234.1,825.8,33930,,482.7,33500,2791,720.4,3521,66.49,94.03,3740,33730,2949,1133,1056,1525,,16510,3250,2663,1749,3567,2499,3583,242,2905,,2970,,28510,33320,1068,,,1837,6031,3264,23650,973.8,4114,3973,29110,3865,22140,1974,2473,,31240,36850,220.1,2146,17080,24360,29060,38870,3638,12930,2514,9434,,10200,9435,2867,3485,4178,10220,3488,5204,,10510,3078,30210,3466,34450,1292,23260,2677,5811,8495,,,29650,576.3,6588,11910,17240,DVVJOZPBJUIMJK
22 | 632.5259mz | 0.40min,,,,,,652.4,783.5,467,1238,379.2,1294,,1771,,,,1822,,,,2108,,1662,,,,,1734,,,2128,,,,,,601.1,2346,1624,,1275,,,436.7,,,101,,,160.3,,,,147.8,,1685,2582,,,,,,2899,950.6,,2026,1538,916.1,,2216,,,,2816,1173,,1816,867.5,2541,1182,2393,,824,2481,800.2,,413.8,1155,1523,,,566.5,3896,2131,,,,1919,,1135,,854.7,,144.3,164.1,,,2780,,471.6,583.4,991.4,
23 | 463.4511mz | 0.40min,,,,,,,500.2,274.4,,207,1413,,944.3,,,,2537,,,,,,2383,,,,,3046,,,2316,,,165.3,,,,4438,,,,,,167.2,,,,,,,,,,,,3476,4605,,,,,,,2723,,,,3650,,1671,,,,2054,1873,,,439.7,3063,3222,2355,,1456,,1333,,144.5,493.7,,,,726.8,,,,202.6,,3932,,4258,,1048,,,1204,,,2103,,381,1299,309.2,
24 | 498.4874mz | 0.40min,,,,,,2987,1689,2621,1435,2218,6986,,4422,604.6,,,9607,116.5,,107.1,,,7332,,,,,10090,,,5397,,,800.6,,,,10690,,,,,,2092,862.2,294.9,97.59,803.8,,373,,622,,,,8545,10540,,,,,,,6370,,,,9019,799,4130,,,620.7,6076,4961,,,2390,7235,9293,7126,,3263,,3024,,1330,1616,,,,2300,,,,2155,,9757,,9333,,4386,,227.9,2102,,,5564,,1165,3107,2891,
25 | 612.3686mz | 0.40min,,,,251.6,508.6,676.1,435.3,534.2,,503.1,464.1,,2401,,,,3486,,1590,,1614,,2014,4992,200.2,,1373,,,,1891,6922,,133.7,,,4754,1056,2804,,5014,4157,,968.6,,,331.8,569.1,,,,202.4,,6524,,3403,1632,3062,4275,,4563,,3006,1574,,1952,5802,,283.7,3436,,,677.4,2353,1311,,7907,1722,2583,2713,2205,9600,326.9,8647,684.4,,,,3546,,,351,5270,2200,2265,458,,422,,326,,3978,5132,267.6,,,4772,2588,2395,798.5,977.7,800.1,
26 | 617.5132mz | 0.40min,,,,,,3735,3092,3192,2805,2921,5518,623.9,1968,249.9,,,6726,,,,4162,,2226,,720.4,124.1,2925,6062,,,4446,2884,,581.9,,,4190,6623,4414,,3575,1857,,3572,645.1,436.2,1734,1291,,1891,,887.8,,2821,244.9,5502,7057,2727,,,1556,638,4981,5553,,4066,4557,5662,1211,3381,1102,,,3152,1894,,4427,4918,5751,6326,2319,3872,2106,3127,1971,,1465,1087,4864,467.6,3065,3073,2349,4751,,2488,1969,7019,413.6,6374,91.58,2638,776,3088,1318,,,3350,3836,3950,1815,5074,
27 | 590.5477mz | 0.40min,,,,,,,,,,,2365,,1577,,,,3046,,,,,,,,,,,4715,,,557.7,,,140.1,,,,1903,410.3,,,,,,,,,,,,,,,,,2104,3512,,,,,,,1476,,,,3268,,2004,,,,1419,,,,,2355,4772,,,520,,565,,,,,,,675.5,367.5,353.3,,,,3060,,3333,,2468,,,318.1,,,1160,,,,,
28 | 636.5549mz | 0.40min,,,,,,5029,3303,6696,4218,5156,3550,695.2,2384,619.9,,,9742,,,113.4,18490,,5139,,1077,303.7,3049,10180,,,5189,2546,,462.2,,,22080,11510,20840,767.7,15380,865,,3853,259.6,,1052,95.81,,1492,,,,3014,,3677,11920,1694,,,669.4,367.4,27200,4112,,17690,13770,10530,165.5,7311,1511,,,4553,5781,,21950,5595,7750,10270,6125,2574,2992,22560,1873,,743.6,2248,23540,1516,344.2,2293,20750,22880,,3240,2267,11850,1942,11000,95.25,2766,1138,2050,611.2,,,5693,2671,7767,1324,7329,
29 | 633.5107mz | 0.40min,,,,,,988.1,1888,2087,1691,2741,2740,,2126,,,,8669,143.4,816,83.26,390.5,,3881,,538,,1048,6991,,,2127,563.3,301.2,330.8,,,152.6,10240,418,,,439.8,,2229,1209,759.1,971.3,1620,,1147,,1141,,,,7486,10720,585.3,,,402.7,373.2,391.1,7148,,442.6,499.1,8878,1599,3949,,,1644,5864,2739,,109.6,2436,7795,9852,3674,368.6,2294,,1723,,1074,1290,,,760.3,2115,464.6,,378.4,1398,420.6,10620,,8779,,3842,479.4,,1430,,,2842,525.9,1552,2263,3082,
30 | 636.5197mz | 0.41min,,,,,,,,,,,,,,,,,,,,,,,,863.2,,,3313,,,,,3222,,,,,,,,,,8323,,,,,,,,,,,,3315,,,,1409,531.4,,7750,,,,,,,,,,,,,,,,,,,,,3720,,,,,,,,,,,,,,,,,,,,,8424,,,,,,2150,,,,
31 | 610.5411mz | 0.40min,,,,,,2439,1638,657.4,2206,580.7,2750,160.2,1280,127.5,1349,,2817,,,,9424,,4639,,739.9,,,4788,,,3878,125,,97.3,,,9773,5812,5341,1397,4170,,,701.7,,,757.2,,,313.9,,,,,,3917,3288,,,,225.8,,9970,2095,,3998,9226,4188,,5984,1183,,,6149,4374,,9560,1715,4004,5405,5403,,906.1,8987,950,,293.2,1777,9304,79.02,,1579,9201,12140,,1228,502.9,5603,740,3585,,5744,,321.8,629.5,,,4985,,2417,885.2,2573,
32 | 638.5689mz | 0.39min,,,,,,,,,423.7,,122.4,,,,,,556.5,,,,2450,,,,,,,438.1,,,,,,,,,2202,413.6,4645,,1771,,,,,,,,,,,,,,,238.8,875.6,,,,,,5881,57.13,,774.5,1451,307.7,,,,,,,,,3890,179.3,,304.1,,,,3712,,,,,4685,,,,3804,1588,,,,425,,380.8,,,,,,,,,,736,,126.3,
33 | 607.4924mz | 0.40min,,,,,,1497,1903,2505,1753,1571,7460,,5968,,,,11320,,,,564.7,,7694,,,,,11510,,,8972,,108.9,312.2,,,189.2,13580,470.4,,,,,1797,1375,305.6,593.7,960.4,,636,,980.7,,,,11490,13450,,,,,,177.2,8298,,584.8,659.1,11240,869.2,3734,,,600.6,10050,2350,,108.2,2457,8257,12290,6663,,2207,233.9,1788,,1789,1120,,,,2493,682.2,500.8,505.4,1404,293.1,13650,,13610,,7231,,,1375,,,8440,,1559,3257,2693,
34 | 625.5235mz | 0.40min,,,,,,1568,558,133.5,488.4,1300,2509,,2838,,,,3111,,,,,,2582,,121.6,,,4125,,,1047,,,391.3,,,,3372,,,,,,1027,452.9,189.9,622.7,968,,369.5,,409.3,,,,3083,1960,,,,,,167.6,1759,,278.2,1043,2740,604.3,2344,,,,2748,1133,,,1869,2862,1924,2341,,1707,204,1079,,849,346.3,,,,1121,340.2,474,,283.2,,2339,216.1,4006,,2811,,249.3,845.4,,,2789,,1006,1671,672.2,
35 | DAG 36:4 | [M + H3N + H]+,,,,,,15430,16440,17010,20090,14940,21510,1543,23460,890.6,278,,26190,881,490.9,1255,27270,,21440,,2114,899.5,10540,28470,,98.67,27860,9814,592.2,2389,132,,27460,30300,25800,1245,20110,9468,98.05,16620,2747,1720,3575,860.6,492.7,5058,,1198,,8339,1390,26570,33880,7088,,,7625,5249,33560,23240,2059,26700,27980,28020,1321,27730,3894,591,126.6,24960,18830,194.9,27440,16670,21430,26110,22690,9577,11520,29760,8411,,6799,9465,32280,3780,2279,9731,26830,31740,279.7,8301,5688,31510,5680,28760,1090,26020,2366,8505,6690,,,23520,10790,14040,8020,18040,MQGBAQLIFKSMEM
36 | 627.5391mz | 0.40min,,,,,,5310,5111,6271,3747,6615,7975,1220,5664,556.7,,,8700,410,638.8,338.6,1277,,6949,,1162,431.5,1438,6148,,,7103,1464,448.4,1104,,,4576,9275,4316,,1639,912.8,,2871,1752,676.1,2055,2144,,3313,,1413,,663.8,288.3,7963,9298,1295,,,541.4,3058,4832,7913,328.5,4606,5430,8307,2375,7043,1947,,,7569,5018,,4422,6433,7747,9229,6281,1588,4764,5207,3982,,3889,1790,4938,629.2,2029,2199,4647,4797,462.5,4397,3477,8271,456.7,7967,,5028,348.6,2413,3079,,,6672,1271,5299,4562,6919,
37 | 611.1848mz | 0.40min,195,1050,1266,1573,1738,,,,,,,,,98.59,,429.8,,254,4108,68.31,,,580.9,2786,,,,1481,741.5,197.5,561.5,,,,,135.1,,,,,,8741,364,,,269.2,291.3,102.5,,,,443.1,694.6,,,,,,2566,1379,5887,,,433.4,,453.1,503.4,562.4,430.9,299.7,404.8,,4924,1396,507.8,,1678,,437,,1993,,315.1,1576,,1968,,,,,,,383.3,342.1,3761,,,,,1777,,613.2,5882,,420.9,1626,2344,787.3,,434.7,781.2,135.5,
38 | 538.1638mz | 0.40min,,,,1272,692,,,,,,,,,,,,,,3077,,,,,2167,,,,,,,,,,,,,,,,,,3671,,,,,,,,,,,,,,,,,2141,,3366,,,,,,,,,,,,3420,,539.1,,,,,,,,,408.6,,209.1,,,,,,,,,4008,,,,,,,406,5100,,,391.4,2512,,,,,,
